UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
3.374348,0.923609,0.638044,0.409072,0.181006,0.181006,0.181006,0.405088,0.53295768
3.374348,0.923609,0.638044,0.181006,0.181006,0.181006,0.409072,0.405088,0.5756144
3.374348,0.66893,0.923609,0.638044,0.181006,0.181006,0.409072,0.603871,0.46701914
3.374348,0.66893,0.603871,0.181006,0.181006,0.181006,0.181006,0.409072,0.42362912
3.374348,0.66893,0.66893,0.409072,0.181006,0.181006,0.409072,0.181006,0.47113436
3.374348,0.66893,0.603871,0.405088,0.181006,0.181006,0.181006,0.405088,0.4349371
25.5,26.1,24.4,24.6,25.5,23.4,24.8,23.6,25.094
25.5,26.1,24.2,25.1,25.5,23.4,24.3,24.9,24.646
25.5,26.1,24.2,26.4,25.5,23.4,24.9,25.7,25.242
25.5,26.1,24.7,25.9,25.5,23.4,24.4,24.2,24.796
25.5,26.1,23.3,23.4,25.5,22.9,24.3,24.3,24.03
25.5,26.1,24.0,24.5,25.5,22.9,24.1,22.9,23.734
25.5,26.1,24.0,23.9,25.5,22.9,24.2,24.4,24.168
25.5,26.1,25.4,24.9,25.5,22.9,24.2,23.4,24.174
25.5,22.9,24.5,24.7,22.9,22.9,22.8,23.1,23.83
25.5,22.9,25.3,25.1,22.9,22.9,23.7,23.0,23.76
25.5,22.9,23.8,25.1,22.9,22.9,22.7,23.8,23.878
25.5,22.9,24.1,25.0,22.9,22.9,25.9,23.2,23.744
22.9,22.9,23.3,24.2,22.9,22.9,22.8,24.0,23.604
22.9,22.9,24.6,24.0,22.9,22.9,24.4,22.7,23.64
22.9,22.9,24.5,24.7,22.9,22.9,23.9,23.9,23.66
22.9,22.9,22.9,23.9,22.9,22.9,22.7,23.7,23.6
287.713712931,171.395787001,1.72284603119,24.1362570524,0.949913024902,0.253507018089,57.8032900095,0.939454078674,9.11925575733
287.713712931,171.395787001,3.16958796978,1.44738900661,0.949913024902,0.253507018089,2.07693600655,0.364696979523,7.47137020826
287.713712931,171.395787001,0.301568984985,6.75241100788,0.949913024902,0.253507018089,2.24932205677,1.64620494843,13.1731999826
