UGE,AGE,UGEm,AGEm
0.231326,0.231326,0.231326,0.231326
0.257918,0.231326,0.238162,0.231326
0.231326,0.231326,0.257918,0.231326
0.231326,0.231326,0.231326,0.231326
0.231326,0.231326,0.238162,0.231326
0.231326,0.231326,0.231326,0.231326
0.231326,0.231326,0.238162,0.231326
0.231326,0.231326,0.231326,0.231326
0.1198675,0.3348795,0.5308159,0.3192272
0.5308159,4.7763754,0.3638917,0.1707806
0.2119023,1.0068709,17.2521827,0.167155
0.5308159,0.4717413,0.2029565,17.6651037
0.1436481,1.789068,0.1188718,0.2091855
0.1707806,0.235791,3.7624723,0.252824
0.5087751,0.2870746,4.9642679,0.3822941
0.7249842,0.1431932,0.1342618,3.4769356
0.1917904,0.1500297,0.1880178,1.331192
0.0855454,0.0985765,0.2559428,0.1149053
0.1490389,0.1653673,0.1031722,0.0942536
0.0850745,0.1373942,0.1668248,0.252824
2.670944,0.1417697,0.1031722,0.1143363
0.1607639,0.0735028,0.1668248,0.1567145
0.2870746,0.1130773,1.2665242,0.1880178
2.3752846,0.1318538,0.1256224,0.1149053
8.5951336,0.1366702,0.1990923,0.1216076
0.0881345,0.1134763,0.5210832,0.0708232
5.3147732,0.0732145,0.0981272,0.1216076
0.1361618,0.0730705,0.2350328,5.2866694
0.0881345,0.0981272,0.1896045,0.0732145
0.0912928,0.1148468,0.1701203,0.0881345
0.1990923,0.1134763,0.4077205,0.1563947
0.0906327,0.2253809,0.0906327,0.1191746
0.0981272,0.1588518,0.0900228,0.0900228
0.2555902,0.0730705,0.1213881,0.0906327
0.0732145,0.0906327,0.0708232,0.0730705
0.1366702,0.1148468,0.1896045,0.1216076
1.0787149,0.0900228,0.0732145,0.0880938
0.0732145,0.0730705,0.0708232,0.2878134
0.5704493,0.0732145,0.1148468,0.1191746
0.4736612,0.1563947,0.0732145,0.0732145
0.255895,0.104679,0.19189,0.121271
0.256301,0.298822,0.117175,0.120002
0.151752,0.118549,0.256301,0.367123
0.209742,0.217401,1.248013,0.118549
0.098882,0.098882,0.200203,0.136456
0.255895,0.167276,0.131617,0.101231
0.141011,0.0889,0.156156,0.0889
0.184042,0.120646,0.184042,0.141011
0.151752,0.105384,0.135948,0.118539
0.118008,0.173371,0.322205,0.137068
0.120002,0.131617,0.137068,0.209742
0.131617,0.100765,0.161855,0.118549
0.14005,0.0889,0.098882,0.0889
0.101231,0.100093,0.208083,0.101231
0.118008,0.111456,0.106497,0.100765
0.118549,0.0889,0.118008,0.131617
11.8285302,1.0043815,45.3249463,17.3165573
1066.9339298,23.7791334,19.4170449,23.7791334
71.9101023,36.5338335,12.5969344,36.5338335
274.6247686,17.3165573,398.9247313,12.5969344
1.0043815,16.1670435,11.8285302,9.7970439
5.8013112,7.6654736,34.9268149,12.8714185
